Table;Column;Type;Relation;Description;;;;;;;;;;;;;;;;;;;;;
nguoi_dung;id;bigint PK;;;;;;;;;;;;;;;;;;;;;;;
;ten;varchar;;Tˆn ng??i d—ng;;;;;;;;;;;;;;;;;;;;;
;email;varchar UNIQUE;;Email (unique);;;;;;;;;;;;;;;;;;;;;
;so_dien_thoai;varchar;;S? ?i?n tho?i;;;;;;;;;;;;;;;;;;;;;
;mat_khau_hash;varchar;;Hash m?t kh?u;;;;;;;;;;;;;;;;;;;;;
;vai_tro;enum('khach_hang','nhan_vien','admin');;Roles;;;;;;;;;;;;;;;;;;;;;
;phong_ban;varchar, NULLABLE;;B? ph?n (cho nhƒn viˆn);;;;;;;;;;;;;;;;;;;;;
;is_active;boolean;;Active hay kh“ng (m?c ??nh true);;;;;;;;;;;;;;;;;;;;;
;remember_token;varchar, NULLABLE;;Laravel remember token (optional);;;;;;;;;;;;;;;;;;;;;
;created_at;timestamptz;;;;;;;;;;;;;;;;;;;;;;;
;updated_at;timestamptz;;;;;;;;;;;;;;;;;;;;;;;
password_resets;email;varchar;;Email ?? reset password (Laravel default table);;;;;;;;;;;;;;;;;;;;;
;token;varchar;;Token reset;;;;;;;;;;;;;;;;;;;;;
;created_at;timestamptz;;;;;;;;;;;;;;;;;;;;;;;
tang;id;int PK;;;;;;;;;;;;;;;;;;;;;;;
;so_tang;int UNIQUE;;S? t?ng (unique);;;;;;;;;;;;;;;;;;;;;
;ten;varchar;;;;;;;;;;;;;;;;;;;;;;;
;ghi_chu;text;;;;;;;;;;;;;;;;;;;;;;;
;created_at;timestamptz;;;;;;;;;;;;;;;;;;;;;;;
;updated_at;timestamptz;;;;;;;;;;;;;;;;;;;;;;;
loai_phong;id;int PK;;;;;;;;;;;;;;;;;;;;;;;
;ma;varchar UNIQUE;;M? lo?i ph•ng;;;;;;;;;;;;;;;;;;;;;
;ten;varchar;;;;;;;;;;;;;;;;;;;;;;;
;mo_ta;text;;;;;;;;;;;;;;;;;;;;;;;
;suc_chua;int;;;;;;;;;;;;;;;;;;;;;;;
;so_giuong;int;;;;;;;;;;;;;;;;;;;;;;;
;gia_mac_dinh;numeric(12,2);;Gi  m?c ??nh / ?ˆm;;;;;;;;;;;;;;;;;;;;;
;so_luong_thuc_te;int;;T?ng ph•ng v?t l? lo?i n…y;;;;;;;;;;;;;;;;;;;;;
;created_at;timestamptz;;;;;;;;;;;;;;;;;;;;;;;
;updated_at;timestamptz;;;;;;;;;;;;;;;;;;;;;;;
phong;id;bigint PK;;;;;;;;;;;;;;;;;;;;;;;
;ma_phong;varchar UNIQUE;;"V¡ d? ""101""";;;;;;;;;;;;;;;;;;;;;
